,ID,STATION_NAME,RIVER_BASIN,COUNTY,LONGITUDE,LATITUDE,ELEVATION,OPERATOR
206,GRE,GREENVILLE,FEATHER R,PLUMAS,-120.9412,40.1394,3560,CA Dept of Water Resources/Operations and Maintenance
207,GRG,GEORGETOWN RS (USFS),AMERICAN R,EL DORADO,-120.8,38.933,3001,US Forest Service
208,GRM,GREEN MOUNTAIN,SAN JOAQUIN R,MADERA,-119.238,37.555,7900,US Bureau of Reclamation
209,GRN,GREEN SPRINGS,TUOLUMNE R,TUOLUMNE,-120.5,37.833,1020,CAL FIRE
210,GRO,GRANT GROVE,KINGS R,TULARE,-118.967,36.733,6600,US National Forest
211,GRV,GRAVEYARD MEADOW,SAN JOAQUIN R,MADERA,-119.29,37.465,6900,US Bureau of Reclamation
212,GRZ,GRIZZLY RIDGE,FEATHER R,PLUMAS,-120.645,39.917,6900,CA Dept of Water Resources/Operations and Maintenance
213,GTM,GOAT MOUNTAIN,SAN JOAQUIN R,MADERA,-119.543,37.27,4520,US Bureau of Reclamation
214,GTW,GEORGETOWN (USBR),AMERICAN R,EL DORADO,-120.789,38.925,3250,US Bureau of Reclamation
215,HAT,HAT CK PH NO 1,HAT CR,SHASTA,-121.55,40.933,3020,Pacific Gas & Electric
216,HBP,HARVEY O BANKS PUMPING P (KA000331),DELTA,CONTRA COSTA,-121.620278,37.801944,4,CA Dept of Water Resources/Operations and Maintenance
217,HCK,HOCKETT MEADOW (USACE),KAWEAH R,TULARE,-118.651,36.371,8500,US Army Corps of Engineers
218,HDL,HOADLEY,TRINITY R,SHASTA,-122.75,40.683,4580,US Bureau of Reclamation
219,HDZ,HERNANDEZ,SAN BENITO R,SAN BENITO,-120.854,36.383,3752,CAL FIRE
220,HEM,HETCH HETCHY MET STATION,TUOLUMNE R,TUOLUMNE,-119.78315,37.944934,3920,City of San Francisco
221,HHM,HIGHLAND MEADOW,MOKELUMNE R,ALPINE,-119.805748,38.487312,8700,CA Dept of Water Resources/Snow Surveys
222,HID,HIDDEN DAM (HENSLEY),FRESNO R,MADERA,-119.917,37.2,561,US Army Corps of Engineers
223,HIG,HIGHLAND LAKES,TRINITY R,TRINITY,-122.483,41.093,6030,US Bureau of Reclamation
224,HKY,HAWKEYE,RUSSIAN R,SONOMA,-122.84,38.727,2000,CAL FIRE
225,HLC,HILLCREST,PIT R,SHASTA,-121.883,40.867,3440,US Bureau of Reclamation
226,HLD,HIGHLAND PEAK,DELTA,CONTRA COSTA,-121.8084,37.8145,2520,Contra Costa County
227,HLH,HELL HOLE (USFS),AMERICAN R,PLACER,-120.4217,39.0717,4580,US Forest Service
228,HMB,HUMBUG,FEATHER R,PLUMAS,-121.368,40.115,6500,CA Dept of Water Resources/Operations and Maintenance
229,HNT,HUNTINGTON LAKE (USBR),SAN JOAQUIN R,FRESNO,-119.221,37.228,7000,US Bureau of Reclamation
230,HNY,HONEYDEW,MATTOLE R,HUMBOLDT,-124.148,40.23,370,CA Dept of Water Resources/Flood Management
231,HPA,TRINITY RIVER AT HOOPA,TRINITY R,HUMBOLDT,-123.67366799999999,41.04985,330,USGS and DWR
232,HRF,HARKNESS FLAT,FEATHER R,LASSEN,-121.275,40.418,6200,"Pacific Gas and Electric Company, Rogers Flat"
233,HRR,HARRISON GULCH RS,SACTO VLY WEST,SHASTA,-122.967,40.367,2750,US Forest Service
234,HRZ,HIRZ,SACRAMENTO R,SHASTA,-122.25,40.9,3200,US Bureau of Reclamation
235,HSS,HOSSACK,TULE R,TULARE,-118.619,36.181,7100,US Army Corps of Engineers
236,HTC,HAT CREEK #1 PH (PG&E),PIT R,LASSEN,-121.55,40.933,3015,Pacific Gas & Electric
237,HTG,HASTINGS,CARMEL R,MONTEREY,-121.551,36.388,1824,CAL FIRE
238,HTH,HETCH HETCHY,TUOLUMNE R,TUOLUMNE,-119.783,37.95,3870,Hetch Hetchy Water and Power
239,HTN,HUNTINGTON LAKE (PG&E) (OBSERVER),SAN JOAQUIN R,FRESNO,-119.225,37.225,7000,Pacific Gas & Electric
240,HYS,HUYSINK,AMERICAN R,PLACER,-120.527,39.282,6600,US Bureau of Reclamation
241,INP,INDEPENDENCE LAKE NEAR TRUCKEE,TRUCKEE R,SIERRA,-120.29,39.452,6921,US Geological Survey
242,INV,INDIAN VALLEY,CACHE CR,LAKE,-122.533,39.083,1502,Yolo County Flood Control and Water Consv Dist
243,ISB,ISABELLA DAM,KERN R,KERN,-118.473,35.646,2635,US Army Corps of Engineers
244,JAR,JARBO GAP,FEATHER R,BUTTE,-121.489,39.736,2700,CAL FIRE
245,JNR,JOHNSON RANCH,EAST BAY,ALAMEDA,-121.604,37.6667,2042,San Joaquin County
246,JUL,JULIAN,SAN DIEGO R,SAN DIEGO,-116.591,33.076,4240,CAL FIRE
247,KCP,KERN CANYON PH (OBSERVER),KERN R,KERN,-118.441,35.441,702,Pacific Gas & Electric
248,KET,KETTENPOM,EEL R,TRINITY,-123.467,40.15,3468,CA Dept of Water Resources/Flood Management
249,KLR,KILARC PH,SACTO VLY NE,SHASTA,-121.867,40.683,2650,Pacific Gas & Electric
250,KP3,KERN PH 3,KERN R,KERN,-118.436058,35.775902,2703,"Southern California Edison Company, Big Creek"
251,KPH,KERN CANYON PH (PG&E),KERN R,KERN,-118.783,35.433,570,Pacific Gas & Electric
252,KPI,KERN POWER HOUSE INTAKE,KERN R,KERN,-118.47686000000002,35.9458,3654,Southern California Edison Company
253,KR1,KERN PH 1,KERN R,KERN,-118.77,35.46,1000,"Southern California Edison Company, Big Creek"
254,KR3,KERN R INTAKE NO. 3,KERN R,KERN,-118.48,35.95,3650,"Southern California Edison Company, Big Creek"
255,KSP,KAISER POINT,SAN JOAQUIN R,FRESNO,-119.1,37.3,9200,US Bureau of Reclamation
256,KTI,KNOCTI RAWS (MT. KONOCTI),CACHE CR,LAKE,-122.7063,38.9118,2163,CAL FIRE
257,KTL,KETTLE ROCK,FEATHER R,PLUMAS,-120.715,40.14,7300,CA Dept of Water Resources/Operations and Maintenance
258,KTT,KETTLEMAN HILLS,TULARE LAKE,KINGS,-120.057,36.033,810,US Bureau of Land Management
259,LAP,LA PORTE (DWR),FEATHER R,PLUMAS,-120.983,39.681,4980,CA Dept of Water Resources/Operations and Maintenance
260,LBR,LIBERTY ROAD,PETALUMA R,SONOMA,-122.7,38.283,100,City of Petaluma
261,LC1,LAKE CTY RAWS1 (COBB MT),CACHE CR,LAKE,-122.7405,38.8064,4725,Lake County
262,LCN,LINCOLN,AMERICAN R,PLACER,-121.272,38.882,200,CAL FIRE
263,LCS,LOWER CRYSTAL SPRINGS,SAN MATEO CREEK,SAN MATEO,-122.363,37.5325,424,San Francisco PUC
